DayOfYear,DepTime,CRSDepTime,ArrTime,CRSArrTime,Unnamed: 0,DayOfWeek,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted
256,918,810,1128,1005,882,5,AA,1866,N517AA,150.0,135.0,128.0,123.0,108,ORD,PHL,678,3.0,19.0,0,N,0
297,1267,1245,10,1425,883,4,WN,1083,N260WN,183.0,180.0,169.0,25.0,22,PHX,SEA,1107,3.0,11.0,0,N,0
35,829,820,948,945,884,1,MQ,4052,N857AE,119.0,125.0,98.0,3.0,9,MIA,CLT,650,11.0,10.0,0,N,0
133,929,905,1067,1058,885,1,UA,149,N675UA,258.0,273.0,243.0,9.0,24,ORD,SFO,1846,4.0,11.0,0,N,0
238,705,589,868,750,886,1,OH,5260,N398CA,103.0,101.0,84.0,118.0,116,MCI,CVG,539,2.0,17.0,0,N,0
77,841,810,940,920,887,1,WN,187,N258WN,99.0,110.0,90.0,20.0,31,BHM,MDW,570,2.0,7.0,0,N,0
348,1197,1185,1245,1243,888,6,CO,1441,N37427,48.0,58.0,29.0,2.0,12,IAH,AUS,140,4.0,15.0,0,N,0
159,1276,1225,1355,1305,889,6,WN,955,N416WN,79.0,80.0,64.0,50.0,51,MDW,MCI,405,3.0,12.0,0,N,0
220,572,560,645,645,890,4,WN,1878,N485WN,73.0,85.0,64.0,0.0,12,MDW,OMA,423,2.0,7.0,0,N,0
280,702,695,823,825,891,1,WN,943,N462WN,121.0,130.0,99.0,-2.0,7,SEA,OAK,671,6.0,16.0,0,N,0
342,1014,1003,1060,1053,892,7,EV,5072,N835AS,106.0,110.0,84.0,7.0,11,ATL,SHV,552,4.0,18.0,0,N,0
162,676,657,730,705,893,2,EV,4614,N922EV,114.0,108.0,78.0,25.0,19,ATL,SHV,552,3.0,33.0,0,N,0
90,558,545,848,846,894,7,XE,72,N17185,170.0,181.0,149.0,2.0,13,ONT,OMA,1286,10.0,11.0,0,N,0
130,925,905,1220,1209,895,5,CO,696,N39418,175.0,184.0,148.0,11.0,20,LAS,IAH,1222,11.0,16.0,0,N,0
237,730,720,865,854,896,7,OH,5620,N797CA,135.0,134.0,121.0,11.0,10,SRQ,CVG,812,3.0,11.0,0,N,0
263,906,900,1103,1094,897,5,F9,374,N914FR,137.0,134.0,119.0,9.0,6,DEN,MKE,895,6.0,12.0,0,N,0
235,412,405,493,494,898,5,US,567,N644AW,81.0,89.0,52.0,-1.0,7,SNA,PHX,338,5.0,24.0,0,N,0
129,1133,1125,1198,1213,899,4,XE,3022,N11119,65.0,88.0,52.0,-15.0,8,IAH,GPT,376,5.0,8.0,0,N,0
307,909,900,981,975,900,7,WN,1253,N337SW,72.0,75.0,54.0,6.0,9,OAK,LAX,337,7.0,11.0,0,N,0
215,731,703,777,754,901,6,HA,182,N475HA,46.0,51.0,33.0,23.0,28,HNL,ITO,216,3.0,10.0,0,N,0
253,931,925,964,962,902,2,HA,183,N480HA,33.0,37.0,20.0,2.0,6,HNL,LIH,102,5.0,8.0,0,N,0
159,566,555,642,635,903,6,WN,1258,N376SW,76.0,80.0,59.0,7.0,11,SMF,LAS,397,6.0,11.0,0,N,0
130,1145,1073,1242,1193,904,5,CO,1431,N17719,97.0,120.0,80.0,49.0,72,BOS,CLE,563,4.0,13.0,0,N,0
187,506,500,574,580,905,6,WN,1293,N386SW,128.0,140.0,115.0,-6.0,6,BDL,MDW,777,3.0,10.0,0,N,0
58,915,880,995,971,906,3,EV,4347,N853AS,140.0,151.0,116.0,24.0,35,ATL,ICT,781,4.0,20.0,0,N,0
13,389,360,849,820,907,7,AA,231,N5FBAA,280.0,280.0,247.0,29.0,29,LAX,MIA,2342,2.0,31.0,0,N,0
357,1070,1050,1143,1130,908,1,WN,3072,N794SW,73.0,80.0,60.0,13.0,20,LAX,OAK,337,5.0,8.0,0,N,0
357,1222,1195,1326,1289,909,1,US,948,N968UW,104.0,94.0,76.0,37.0,27,CLT,CLE,430,5.0,23.0,0,N,0
116,986,970,1342,1340,910,5,WN,994,N217JC,236.0,250.0,214.0,2.0,16,SFO,MDW,1855,6.0,16.0,0,N,0
24,835,815,1154,1135,911,4,DL,48,N612DL,199.0,200.0,167.0,19.0,20,SLC,CVG,1449,6.0,26.0,0,N,0
38,816,800,862,841,912,4,OH,5099,N514CA,46.0,41.0,21.0,21.0,16,CVG,DAY,64,3.0,22.0,0,N,0
353,1192,1115,1194,1120,913,4,WN,619,N522SW,62.0,65.0,51.0,74.0,77,LBB,ABQ,289,3.0,8.0,0,N,0
274,822,815,1031,1001,914,2,B6,435,N715JB,209.0,186.0,185.0,30.0,7,BOS,MCO,1121,10.0,14.0,0,N,0
265,1081,1055,1166,1153,915,7,UA,1460,N495UA,145.0,158.0,128.0,13.0,26,MHT,ORD,843,7.0,10.0,0,N,0
49,1169,1127,1327,1302,916,1,DL,1792,N919DL,158.0,175.0,141.0,25.0,42,TPA,BOS,1185,6.0,11.0,0,N,0
2,549,520,721,700,917,3,9E,5716,86989E,112.0,120.0,95.0,21.0,29,MEM,RDU,634,3.0,14.0,0,N,0
95,1207,1150,43,1372,918,5,XE,2114,N17108,216.0,162.0,121.0,111.0,57,IAH,GRR,1042,5.0,90.0,0,N,0
353,729,710,902,885,919,4,AA,1255,N4WDAA,233.0,235.0,201.0,17.0,19,PHL,DFW,1302,16.0,16.0,0,N,0
175,765,673,878,754,920,1,OO,6390,N724SK,113.0,81.0,96.0,124.0,92,SNA,SFO,372,2.0,15.0,0,N,0
355,696,585,777,663,921,6,OO,4794,N461SW,81.0,78.0,55.0,114.0,111,SLC,BOI,291,5.0,21.0,0,N,0
81,600,580,706,687,922,5,DL,890,N959DL,106.0,107.0,87.0,19.0,20,IAD,ATL,533,9.0,10.0,0,N,0
147,753,691,943,892,923,1,OO,6416,N932SW,130.0,141.0,112.0,51.0,62,SFO,ABQ,896,6.0,12.0,0,N,0
155,1238,1176,1291,1238,924,2,OO,5707,N301YV,53.0,62.0,41.0,53.0,62,ACV,SMF,207,4.0,8.0,0,N,0
297,869,835,1169,1155,925,4,WN,317,N223WN,180.0,200.0,170.0,14.0,34,ABQ,TPA,1497,4.0,6.0,0,N,0
231,1289,1245,1430,1404,926,1,US,865,N940UW,141.0,159.0,119.0,26.0,44,PHL,MCO,861,5.0,17.0,0,N,0
48,1060,974,1158,1049,927,7,UA,411,N826UA,158.0,135.0,91.0,109.0,86,CLT,ORD,599,5.0,62.0,0,N,0
90,613,600,841,810,928,7,AA,616,N487AA,168.0,150.0,141.0,31.0,13,DFW,DTW,987,8.0,19.0,0,N,0
137,497,485,563,560,929,5,FL,642,N926AT,66.0,75.0,53.0,3.0,12,PHF,LGA,288,5.0,8.0,0,N,0
140,761,745,824,820,930,1,WN,816,N691WN,63.0,75.0,53.0,4.0,16,LAX,SFO,337,3.0,7.0,0,N,0
102,1305,1255,21,1383,931,5,OH,5166,N936CA,156.0,128.0,109.0,78.0,50,LGA,CVG,585,1.0,46.0,0,N,0
87,793,750,844,805,932,4,WN,2197,N447WN,111.0,115.0,100.0,39.0,43,SLC,PDX,630,4.0,7.0,0,N,0
212,1163,1113,1280,1260,933,3,XE,2517,N15572,117.0,147.0,102.0,20.0,50,SAV,EWR,708,9.0,6.0,0,N,0
297,645,635,835,824,934,4,EV,5246,N845AS,130.0,129.0,107.0,11.0,10,ICT,ATL,781,8.0,15.0,0,N,0
145,783,660,833,712,935,6,OO,5422,N221SW,50.0,52.0,35.0,121.0,123,LAX,SAN,109,3.0,12.0,0,N,0
317,1297,1190,1364,1270,936,3,MQ,4325,N674MQ,127.0,140.0,98.0,94.0,107,CLT,ORD,599,7.0,22.0,0,N,0
30,816,794,882,860,937,3,F9,107,N905FR,126.0,126.0,103.0,22.0,22,MSP,DEN,680,11.0,12.0,0,N,0
173,550,535,686,675,938,6,AA,39,N5EDAA,316.0,320.0,293.0,11.0,15,SFO,HNL,2398,2.0,21.0,0,N,0
139,783,770,1233,1213,939,7,DL,152,N828MH,270.0,263.0,244.0,20.0,13,LAX,ATL,1946,8.0,18.0,0,N,0
26,1284,1275,1354,1355,940,6,CO,511,N14731,70.0,80.0,48.0,-1.0,9,IAH,MFE,316,5.0,17.0,0,N,0
42,618,608,709,712,941,1,9E,2902,86659E,91.0,104.0,71.0,-3.0,10,DTW,GSO,460,4.0,16.0,0,N,0
88,490,483,604,594,942,5,FL,83,N299AT,114.0,111.0,86.0,10.0,7,FLL,ATL,581,8.0,20.0,0,N,0
70,562,490,675,615,943,1,WN,1410,N906WN,173.0,185.0,147.0,60.0,72,MDW,ABQ,1121,4.0,22.0,0,N,0
116,1190,1153,1317,1185,944,5,9E,3707,89809E,187.0,92.0,152.0,132.0,37,DTW,MLI,373,10.0,25.0,0,N,0
127,1171,1125,1273,1245,945,2,MQ,3451,N633AE,102.0,120.0,87.0,28.0,46,DFW,CMI,693,4.0,11.0,0,N,0
26,749,690,897,810,946,6,MQ,3474,N620AE,208.0,180.0,180.0,87.0,59,CHS,DFW,987,16.0,12.0,0,N,0
133,1293,1145,49,1356,947,1,CO,460,N12318,256.0,271.0,215.0,133.0,148,EWR,SAT,1569,4.0,37.0,0,N,0
195,848,835,955,885,949,7,MQ,4268,N674RJ,107.0,50.0,32.0,70.0,13,PIA,ORD,130,5.0,70.0,0,N,0
181,1245,1135,1416,1315,950,7,AA,1807,N418AA,111.0,120.0,83.0,101.0,110,ORD,ATL,606,7.0,21.0,0,N,0
345,1303,1295,1427,1405,951,3,DL,875,N623DL,124.0,110.0,86.0,22.0,8,ATL,FLL,581,7.0,31.0,0,N,0
170,6,1265,110,1360,952,3,AA,1811,N3APAA,164.0,155.0,128.0,190.0,181,MIA,IAH,964,6.0,30.0,0,N,0
203,894,808,979,900,953,1,US,473,N824AW,85.0,92.0,64.0,79.0,86,LAS,SFO,414,4.0,17.0,0,N,0
353,1336,1220,1410,1285,954,4,WN,3418,N521SW,74.0,65.0,53.0,125.0,116,STL,MCI,237,3.0,18.0,0,N,0
87,862,845,1004,960,955,4,MQ,3981,N672AE,142.0,115.0,103.0,44.0,17,ORD,ICT,588,4.0,35.0,0,N,0
210,995,980,1058,1045,956,1,WN,1938,N680AA,63.0,65.0,48.0,13.0,15,PHX,ONT,325,6.0,9.0,0,N,0
358,1235,1170,1360,1291,957,2,OH,6360,N972CA,125.0,121.0,81.0,69.0,65,CVG,EWR,569,5.0,39.0,0,N,0
230,1061,1055,1117,1130,958,7,WN,1226,N648SW,116.0,135.0,104.0,-13.0,6,BWI,STL,737,2.0,10.0,0,N,0
68,868,765,1028,950,959,6,DL,1767,N721TW,280.0,305.0,226.0,78.0,103,JFK,HDN,1749,4.0,50.0,0,N,0
81,692,685,861,868,960,5,EV,4571,N681BR,109.0,123.0,92.0,-7.0,7,DSM,ATL,743,10.0,7.0,0,N,0
60,795,725,878,810,961,5,AA,1923,N599AA,83.0,85.0,54.0,68.0,70,SFO,LAX,337,10.0,19.0,0,N,0
195,961,947,1103,1092,962,7,OO,6082,N973SW,142.0,145.0,117.0,11.0,14,PDX,LAX,834,10.0,15.0,0,N,0
109,822,792,1320,1288,963,5,UA,56,N544UA,318.0,316.0,296.0,32.0,30,KOA,LAX,2504,13.0,9.0,0,N,0
311,985,970,1014,1005,964,4,WN,1143,N527SW,89.0,95.0,72.0,9.0,15,DTW,BNA,457,7.0,10.0,0,N,0
288,1094,1079,1247,1256,965,2,UA,712,N340UA,93.0,117.0,73.0,-9.0,15,ORD,IAD,589,7.0,13.0,0,N,0
352,1032,925,1078,975,966,3,WN,3244,N525SW,46.0,50.0,35.0,103.0,107,DAL,AUS,189,4.0,7.0,0,N,0
50,1283,1257,1369,1363,967,2,CO,1538,N17730,146.0,166.0,122.0,6.0,26,IAH,TUS,936,6.0,18.0,0,N,0
160,1094,1010,1302,1194,968,7,CO,1854,N36280,208.0,184.0,132.0,108.0,84,EWR,PBI,1024,6.0,70.0,0,N,0
205,601,575,772,758,969,3,US,969,N114UW,351.0,363.0,325.0,14.0,26,PHL,SFO,2521,13.0,13.0,0,N,0
163,667,605,818,762,970,3,FL,377,N933AT,151.0,157.0,110.0,56.0,62,LGA,ATL,761,11.0,30.0,0,N,0
357,769,715,933,870,971,1,AA,630,N505AA,164.0,155.0,146.0,63.0,54,MCO,JFK,944,5.0,13.0,0,N,0
48,1335,1301,20,1432,972,7,UA,332,N433UA,65.0,71.0,44.0,28.0,34,ORD,DTW,235,8.0,13.0,0,N,0
265,1292,1285,1357,1360,973,7,WN,839,N502SW,185.0,195.0,171.0,-3.0,7,STL,PHX,1262,4.0,10.0,0,N,0
153,1405,1290,33,1380,974,7,XE,2268,N16954,68.0,90.0,46.0,93.0,115,EWR,BUF,282,6.0,16.0,0,N,0
23,1162,1100,1253,1190,975,3,WN,1572,N475WN,151.0,150.0,131.0,63.0,62,ISP,MDW,765,10.0,10.0,0,N,0
233,864,825,1342,1292,976,3,US,1483,N103US,298.0,287.0,259.0,50.0,39,SFO,PIT,2254,16.0,23.0,0,N,0
358,621,615,714,690,977,2,AA,1655,N3DBAA,213.0,195.0,183.0,24.0,6,DFW,SNA,1205,6.0,24.0,0,N,0
352,768,760,872,865,978,3,AA,1239,N4YMAA,104.0,105.0,80.0,7.0,8,MSY,DFW,448,13.0,11.0,0,N,0
209,1415,1230,40,1301,979,7,FL,687,N989AT,125.0,131.0,105.0,179.0,185,ATL,ICT,781,6.0,14.0,0,N,0
137,1287,1015,1408,1141,980,5,CO,552,N24633,121.0,126.0,80.0,267.0,272,CMH,EWR,462,12.0,29.0,0,N,0
65,1162,1056,1301,1179,981,3,EV,4560,N317CA,139.0,123.0,98.0,122.0,106,EYW,ATL,646,35.0,6.0,0,N,0
318,1144,1071,23,1359,982,4,CO,351,N24706,259.0,228.0,181.0,104.0,73,AUS,EWR,1504,7.0,71.0,0,N,0
262,1315,1300,1396,1389,983,4,NW,1273,N329NB,141.0,149.0,120.0,7.0,15,MSP,BZN,874,5.0,16.0,0,N,0
90,1408,1249,146,1432,984,7,CO,1610,N11651,118.0,123.0,104.0,154.0,159,IAH,TPA,787,7.0,7.0,0,N,0
81,799,720,985,910,985,5,AA,1184,N510AA,126.0,130.0,93.0,75.0,79,ORD,EWR,719,9.0,24.0,0,N,0
196,544,480,690,645,986,1,OO,6089,N756SK,146.0,165.0,128.0,45.0,64,ORD,SAT,1041,3.0,15.0,0,N,0
254,545,536,628,624,987,3,UA,203,N932UA,83.0,88.0,64.0,4.0,9,ORD,MSP,334,3.0,16.0,0,N,0
2,1224,1172,1360,1310,988,3,OO,5985,N952SW,76.0,78.0,46.0,50.0,52,ORD,LEX,323,5.0,25.0,0,N,0
104,1273,1220,1420,1355,989,7,AA,598,N428AA,147.0,135.0,129.0,65.0,53,DFW,MSP,852,4.0,14.0,0,N,0
127,802,781,834,817,990,2,OO,5472,N579SW,32.0,36.0,19.0,17.0,21,MRY,SFO,77,5.0,8.0,0,N,0
92,777,765,1270,1240,991,2,AA,28,N353AA,313.0,295.0,281.0,30.0,12,HNL,SFO,2398,3.0,29.0,0,N,0
97,745,735,926,880,992,7,WN,262,N288WN,181.0,145.0,114.0,46.0,10,TPA,PIT,873,3.0,64.0,0,N,0
347,659,630,818,810,993,5,AA,524,N4XWAA,99.0,120.0,80.0,8.0,29,DEN,DFW,641,6.0,13.0,0,N,0
63,788,755,955,936,994,1,FL,194,N291AT,107.0,121.0,95.0,19.0,33,DFW,ATL,732,6.0,6.0,0,N,0
67,793,779,864,857,995,5,OO,3781,N465SW,71.0,78.0,55.0,7.0,14,HLN,SLC,402,5.0,11.0,0,N,0
340,833,823,891,882,996,5,9E,2967,89079E,58.0,59.0,32.0,9.0,10,DTW,CMH,155,4.0,22.0,0,N,0
67,1117,1010,1181,1095,997,5,AA,2459,N458AA,184.0,205.0,169.0,86.0,107,DFW,LAX,1235,4.0,11.0,0,N,0
163,700,677,1239,1211,998,3,UA,10,N510UA,359.0,354.0,308.0,28.0,23,SFO,JFK,2586,15.0,36.0,0,N,0
142,1008,980,1241,1200,999,3,UA,742,N933UA,173.0,160.0,143.0,41.0,28,SEA,DEN,1024,20.0,10.0,0,N,0
179,1170,1070,1305,1205,1000,5,OH,5138,N915CA,135.0,135.0,113.0,100.0,100,CHS,LGA,641,10.0,12.0,0,N,0
22,1219,1190,1321,1307,1001,2,US,1958,N409US,102.0,117.0,75.0,14.0,29,CLT,EWR,529,5.0,22.0,0,N,0
86,600,580,774,760,1002,3,NW,1180,N764NC,114.0,120.0,87.0,14.0,20,MEM,DTW,610,13.0,14.0,0,N,0
157,1272,1255,1376,1365,1003,4,WN,1912,N380SW,44.0,50.0,31.0,11.0,17,MDW,IND,162,7.0,6.0,0,N,0
312,1197,1095,1255,1160,1004,5,WN,1938,N697SW,178.0,185.0,157.0,95.0,102,OMA,LAS,1099,6.0,15.0,0,N,0
8,608,585,696,674,1005,2,UA,341,N429UA,88.0,89.0,71.0,22.0,23,ORD,OMA,416,2.0,15.0,0,N,0
17,923,905,1138,1130,1006,4,AA,1720,N550AA,155.0,165.0,131.0,8.0,18,DFW,IAD,1172,11.0,13.0,0,N,0
229,909,761,1118,964,1007,6,UA,908,N504UA,149.0,143.0,131.0,154.0,148,DEN,ORD,888,5.0,13.0,0,N,0
201,728,689,851,801,1008,6,DL,862,N843MH,123.0,112.0,91.0,50.0,39,FLL,ATL,581,13.0,19.0,0,N,0
109,615,590,770,724,1009,5,CO,542,N69333,215.0,194.0,182.0,46.0,25,IAH,SLC,1195,3.0,30.0,0,N,0
67,1107,1031,1260,1172,1010,5,FL,451,N919AT,153.0,141.0,136.0,88.0,76,SWF,ATL,784,7.0,10.0,0,N,0
335,1386,1090,97,1250,1011,7,WN,3543,N756SA,151.0,160.0,103.0,287.0,296,MCO,PHL,861,44.0,4.0,0,N,0
127,483,465,686,645,1012,2,AA,33,N320AA,383.0,360.0,353.0,41.0,18,JFK,LAX,2475,4.0,26.0,0,N,0
139,672,655,934,925,1013,7,AA,720,N546AA,202.0,210.0,180.0,9.0,17,DFW,LGA,1389,8.0,14.0,0,N,0
23,938,520,1037,620,1014,3,US,1842,N204UW,99.0,100.0,77.0,417.0,418,MCO,CLT,468,3.0,19.0,0,N,0
46,879,870,962,950,1015,5,WN,2377,N606SW,83.0,80.0,53.0,12.0,9,LAS,RNO,345,4.0,26.0,0,N,0
207,1122,1105,1222,1205,1016,5,OO,6052,N919SW,100.0,100.0,71.0,17.0,17,LNK,ORD,466,19.0,10.0,0,N,0
179,1006,1000,1138,1135,1017,5,WN,2450,N212WN,132.0,135.0,113.0,3.0,6,IND,MCO,828,7.0,12.0,0,N,0
52,770,760,816,790,1018,4,9E,5755,88919E,106.0,90.0,72.0,26.0,10,IND,MEM,381,4.0,30.0,0,N,0
81,818,805,944,910,1019,5,DL,1669,N377DA,306.0,285.0,285.0,34.0,13,CVG,LAX,1900,8.0,13.0,0,N,0
184,494,465,694,667,1020,3,XE,2586,N16981,140.0,142.0,122.0,27.0,29,IAH,IND,845,7.0,11.0,0,N,0
25,1192,1180,1373,1325,1021,5,WN,1777,N490WN,301.0,265.0,260.0,48.0,12,MDW,SAN,1728,15.0,26.0,0,N,0
114,1194,1025,1338,1187,1022,3,EV,4513,N844AS,84.0,102.0,69.0,151.0,169,AEX,ATL,500,7.0,8.0,0,N,0
29,1076,975,1149,1055,1023,2,AA,678,N572AA,73.0,80.0,52.0,94.0,101,SFO,LAX,337,11.0,10.0,0,N,0
39,831,820,1005,1010,1024,5,AA,1822,N494AA,114.0,130.0,97.0,-5.0,11,DFW,DAY,861,6.0,11.0,0,N,0
65,1011,1005,1123,1098,1025,3,OO,3724,N581SW,112.0,93.0,75.0,25.0,6,SLC,CPR,320,4.0,33.0,0,N,0
108,1164,1155,1226,1213,1026,4,CO,1441,N12313,62.0,58.0,32.0,13.0,9,IAH,AUS,140,4.0,26.0,0,N,0
209,1197,1135,1332,1261,1027,7,US,1499,N173US,135.0,126.0,78.0,71.0,62,LGA,CLT,544,4.0,53.0,0,N,0
195,1243,1150,65,1373,1028,7,DL,1581,N640DL,382.0,343.0,269.0,132.0,93,JFK,SLC,1989,5.0,108.0,0,N,0
237,1039,1000,1105,1065,1029,7,MQ,3140,N824AE,66.0,65.0,48.0,40.0,39,LAX,SJC,308,3.0,15.0,0,N,0
191,1049,1040,1164,1140,1030,3,NW,161,N583NW,235.0,220.0,197.0,24.0,9,MSP,SEA,1399,14.0,24.0,0,N,0
173,1117,1100,1338,1330,1031,6,WN,3204,N525SW,161.0,170.0,147.0,8.0,17,SLC,STL,1156,5.0,9.0,0,N,0
191,950,935,1037,1015,1032,3,MQ,3740,N684JW,87.0,80.0,63.0,22.0,15,LFT,DFW,351,14.0,10.0,0,N,0
149,874,830,1001,955,1033,3,AA,311,N587AA,247.0,245.0,224.0,46.0,44,STL,SNA,1570,8.0,15.0,0,N,0
8,981,945,1002,969,1034,2,OO,6522,N965SW,81.0,84.0,60.0,33.0,36,PHX,LAX,370,8.0,13.0,0,N,0
219,828,800,880,850,1035,3,WN,2961,N385SW,52.0,50.0,30.0,30.0,28,RSW,MCO,133,9.0,13.0,0,N,0
189,720,660,1271,1200,1036,1,DL,154,N3761R,371.0,360.0,319.0,71.0,60,LAX,JFK,2475,16.0,36.0,0,N,0
57,623,585,716,684,1037,2,YV,7085,N513MJ,153.0,159.0,117.0,32.0,38,ORD,COS,911,4.0,32.0,0,N,0
330,670,640,762,741,1038,2,OH,6561,N932CA,92.0,101.0,75.0,21.0,30,BWI,CVG,430,4.0,13.0,0,N,0
277,503,493,966,954,1039,5,UA,946,N786UA,283.0,281.0,259.0,12.0,10,LAX,IAD,2288,6.0,18.0,0,N,0
134,1029,990,1083,1050,1040,2,YV,7062,N436YV,54.0,60.0,41.0,33.0,39,GUC,DEN,152,4.0,9.0,0,N,0
94,704,675,774,740,1041,4,WN,494,N675AA,70.0,65.0,54.0,34.0,29,LIT,DAL,296,3.0,13.0,0,N,0
200,934,928,1045,1042,1042,5,FL,25,N978AT,111.0,114.0,86.0,3.0,6,FLL,ATL,581,11.0,14.0,0,N,0
361,1321,1305,1419,1411,1043,5,NW,597,N533US,218.0,226.0,196.0,8.0,16,MSP,PDX,1426,6.0,16.0,0,N,0
350,625,583,737,690,1044,1,EV,5614,N659CA,112.0,107.0,93.0,47.0,42,CAK,ATL,528,12.0,7.0,0,N,0
219,640,633,926,929,1045,3,CO,730,N14654,226.0,236.0,203.0,-3.0,7,IAH,JFK,1417,13.0,10.0,0,N,0
153,1020,1005,1136,1115,1046,7,AA,677,N4WPAA,236.0,230.0,217.0,21.0,15,DFW,PDX,1616,3.0,16.0,0,N,0
7,712,690,895,885,1047,1,AA,2093,N3CPAA,183.0,195.0,152.0,10.0,22,LGA,MIA,1097,5.0,26.0,0,N,0
68,861,785,1003,932,1048,6,EV,4697,N872AS,82.0,87.0,65.0,71.0,76,MLU,ATL,448,8.0,9.0,0,N,0
361,1285,1274,1358,1356,1049,5,F9,563,N918FR,133.0,142.0,116.0,2.0,11,DEN,SAN,853,4.0,13.0,0,N,0
224,948,920,1169,1150,1050,1,WN,2202,N344SW,161.0,170.0,147.0,19.0,28,SEA,ABQ,1180,4.0,10.0,0,N,0
224,850,840,970,963,1051,1,OO,3597,N584SW,60.0,63.0,45.0,7.0,10,EKO,SLC,200,6.0,9.0,0,N,0
191,701,689,753,750,1052,3,YV,7094,N649BR,52.0,61.0,41.0,3.0,12,CWA,ORD,213,5.0,6.0,0,N,0
352,1094,1028,1123,1052,1053,3,EV,5273,N876AS,89.0,84.0,61.0,71.0,66,ATL,GPT,352,14.0,14.0,0,N,0
118,1093,1080,1213,1197,1054,7,UA,453,N371UA,120.0,117.0,98.0,16.0,13,DEN,BOI,649,5.0,17.0,0,N,0
29,943,900,1012,967,1055,2,MQ,3267,N211NE,69.0,67.0,43.0,45.0,43,DFW,SHV,190,3.0,23.0,0,N,0
354,561,540,593,579,1056,5,EV,5613,N973EV,92.0,99.0,77.0,14.0,21,CVG,MEM,403,4.0,11.0,0,N,0
170,1180,1165,1316,1290,1057,3,WN,2372,N468WN,316.0,305.0,289.0,26.0,15,BWI,LAS,2106,6.0,21.0,0,N,0
335,1161,1135,1414,1377,1058,7,CO,426,N14219,193.0,182.0,140.0,37.0,26,IAH,BWI,1235,4.0,49.0,0,N,0
218,886,869,1007,978,1059,2,US,889,N517AU,121.0,109.0,90.0,29.0,17,CLT,PBI,590,3.0,28.0,0,N,0
272,1052,1030,1112,1095,1060,7,WN,2467,N528SW,60.0,65.0,50.0,17.0,22,LBB,AUS,341,4.0,6.0,0,N,0
69,594,585,708,700,1061,7,WN,2021,N514SW,114.0,115.0,102.0,8.0,9,BHM,HOU,570,5.0,7.0,0,N,0
124,636,595,670,630,1062,6,AA,1031,N559AA,154.0,155.0,132.0,40.0,41,DFW,PHX,868,6.0,16.0,0,N,0
323,1095,1080,1138,1130,1063,2,WN,1575,N688SW,43.0,50.0,33.0,8.0,15,DAL,AUS,189,4.0,6.0,0,N,0
156,1305,1197,1335,1216,1064,3,YV,7119,N521LR,90.0,79.0,44.0,119.0,108,DTW,ORD,235,16.0,30.0,0,N,0
311,1157,1150,1217,1220,1065,4,WN,2824,N407WN,60.0,70.0,51.0,-3.0,7,JAX,FLL,318,3.0,6.0,0,N,0
334,437,429,567,540,1066,6,DL,1437,N619DL,130.0,111.0,102.0,27.0,8,RIC,ATL,481,17.0,11.0,0,N,0
26,707,695,751,744,1067,6,OO,5717,N291SW,44.0,49.0,37.0,7.0,12,RDM,PDX,116,2.0,5.0,0,N,0
248,984,895,1128,1033,1068,4,DL,1057,N135DL,324.0,318.0,285.0,95.0,89,ATL,SEA,2182,11.0,28.0,0,N,0
266,817,805,878,880,1069,1,WN,691,N470WN,61.0,75.0,53.0,-2.0,12,LAX,SMF,373,3.0,5.0,0,N,0
74,793,777,877,867,1070,5,OO,3717,N565SW,84.0,90.0,70.0,10.0,16,COD,SLC,298,6.0,8.0,0,N,0
295,1109,1056,1291,1255,1071,2,YV,7236,N514MJ,122.0,139.0,104.0,36.0,53,MCI,IAD,926,7.0,11.0,0,N,0
68,1210,1105,1429,1310,1072,6,AA,1939,N5BWAA,219.0,205.0,199.0,119.0,105,BOS,MIA,1258,8.0,12.0,0,N,0
256,1133,1050,1268,1199,1073,5,FL,474,N965AT,135.0,149.0,111.0,69.0,83,ATL,EWR,745,9.0,15.0,0,N,0
217,569,437,726,600,1074,1,CO,1746,N39416,157.0,163.0,130.0,126.0,132,IAH,ORD,925,7.0,20.0,0,N,0
353,787,775,975,967,1075,4,CO,1500,N67158,188.0,192.0,157.0,8.0,12,FLL,EWR,1065,14.0,17.0,0,N,0
289,1211,1160,47,17,1076,3,UA,1124,N821UA,156.0,177.0,138.0,30.0,51,DEN,PIT,1290,6.0,12.0,0,N,0
348,780,755,870,850,1077,6,AA,446,N412AA,90.0,95.0,74.0,20.0,25,DFW,STL,551,3.0,13.0,0,N,0
64,1145,1125,1334,1300,1078,2,MQ,4055,N630AE,129.0,115.0,106.0,34.0,20,ORD,ALB,723,7.0,16.0,0,N,0
294,386,380,460,465,1079,1,WN,2969,N733SA,74.0,85.0,63.0,-5.0,6,MDW,MCI,405,4.0,7.0,0,N,0
210,1092,1050,1339,1290,1080,1,DL,1490,N939DL,187.0,180.0,163.0,49.0,42,MSY,LGA,1183,10.0,14.0,0,N,0
97,1275,1260,1346,1338,1081,7,US,2191,N769US,71.0,78.0,40.0,8.0,15,LGA,DCA,214,3.0,28.0,0,N,0
180,963,869,1062,956,1082,6,NW,135,N923RW,99.0,87.0,55.0,106.0,94,ORD,MSP,334,7.0,37.0,0,N,0
